,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
85,9906,CT648,PRESUNTO CRU ESPANHOL CERATTI FATIADO 100G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
86,9907,CT649,PRESUNTO CRU ITALIANO CERATTI FATIADO 100G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
87,9909,CT651,LINGUIÇA TIPO PORTUGUESA CERATTI 300G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
88,9910,CT652,LINGUIÇA CALABRESA CERATTI 400G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
89,9911,CT654,SALAMINHO     CERATTI 240G A 300G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
90,9937,CT664,TORTELLONI VITO BALDUCCI CARNE 250G,ALLFOOD,Paulo Pereira,Pietro,Massas Frescas
91,9938,CT665,TORTELLONI VITO BALDUCCI QUEIJO GORGONZOLA MASCARPONE 250G,ALLFOOD,Paulo Pereira,Pietro,Massas Frescas
92,9946,CT100,PRESUNTO CRU FIGUEIRAS FATIADO 100G,ALLFOOD,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
93,9965,CT114,BACON DEFUMADO EM FATIAS SADIA 250G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
94,9966,CT115,BATATA PALITO SADIA 400G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
95,9983,CT159,LASANHA  SADIA 4 QUEIJOS 600G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
96,9984,CT160,LASANHA  SADIA BOLONHESA 600G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
97,9987,CT164,LASANHA  SADIA DE PEITO DE PERU 600G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
98,9988,CT165,LASANHA  SADIA DE PRESUNTO E QUEIJO 600G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
99,9997,CT217,NUGGETS DE FRANGO SADIA COM QUEIJO 300G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
100,9999,CT221,NUGGETS DE FRANGO SADIA TRADICIONAL 300G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
101,10008,CT233,PRESUNTO    COZIDO MAGRO FATIADO SADIA SOLTÍSSIMO 200G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
102,10012,CT237,SALAME   HAMBURGUÊS FATIADO SADIA 100G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
103,10014,CT239,SALAME   ITALIANO SADIA FATIADO 100G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
104,10020,CT269,MARGARINA CREMOSA COM SAL DORIANA 500G,SEARA,Paulo Pereira,Pietro,Passáveis Refrigerados
105,10107,CT426,FILÉ DE PEITO ORGÂNICO CONGELADO KORIN 600G,KORIN,Paulo Pereira,Pietro,0
106,10216,CT514,IOGURTE PROBIÓTICO ACTIVIA POLPA AVEIA 340G C/ 4UN,DANONE,Geovanna Bezerra,Pietro,Iogurtes
107,10218,CT516,IOGURTE PROBIÓTICO ACTIVIA POLPA MORANGO 340G C/ 4UN,DANONE,Geovanna Bezerra,Pietro,Iogurtes
108,10219,CT517,IOGURTE PROBIÓTICO ACTIVIA MORANGO 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
109,10220,CT518,IOGURTE PROBIÓTICO ACTIVIA AMEIXA 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
110,10222,CT520,IOGURTE PROBIÓTICO ACTIVIA MORANGO 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
111,10223,CT521,IOGURTE PROBIÓTICO ACTIVIA AMEIXA 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
112,10224,CT522,IOGURTE PROBIÓTICO ACTIVIA AVEIA 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
113,10226,CT524,IOGURTE PROBIÓTICO ZERO LACTOSE ACTIVIA AMEIXA 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
114,10227,CT525,IOGURTE PROBIÓTICO ZERO ACTIVIA MORANGO 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
115,10228,CT526,IOGURTE LÍQUIDO ZERO ACTIVIA AMEIXA 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
116,10229,CT527,"DANONINHO PETIT SUISSE MORANGO, BANANA E MAÇÃ-VERDE 320G C/ 8UN",DANONE,Geovanna Bezerra,Pietro,Iogurtes
117,10230,CT528,DANONINHO PETIT SUISSE MORANGO 320G C/ 8UN,DANONE,Geovanna Bezerra,Pietro,Iogurtes
118,10232,CT530,IOGURTE LÍQUIDO MORANGO DANONE 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
119,10233,CT531,IOGURTE LÍQUIDO VITAMINA DE FRUTAS DANONE 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
120,10234,CT532,DANONE LÍQUIDO MORANGO 850G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
121,10235,CT533,DANONE LÍQUIDO VITAMINA DE FRUTAS 850G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
122,10237,CT535,BEBIDA LÁCTEA DANONE MORANGO 510G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
123,10238,CT536,REQUEIJÃO CREMOSO TRADICIONAL DANONE 200G,DANONE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
124,10240,CT538,IOGURTE MORANGO CORPUS ZERO LACTOSE 170G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
125,10241,CT539,IOGURTE LÍQUIDO ZERO LACTOSE CORPUS MORANGO 800G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
126,10246,CT593,QUEIJO CREAM CHEESE PHILADELPHIA ORIGINAL 150G,DANONE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
127,10248,CT595,QUEIJO CREAM CHEESE PHILADELPHIA LIGHT 150G,DANONE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
128,10249,CT596,COTTAGE TIROLEZ 200G,TIROLEZ,Geovanna Bezerra,Pietro,Passáveis Refrigerados
129,10251,CT598,CREME DE RICOTA TIROLEZ 200G,TIROLEZ,Geovanna Bezerra,Pietro,0
130,10252,CT599,CREME DE RICOTA TIROLEZ LIGHT 200G,TIROLEZ,Geovanna Bezerra,Pietro,0
131,10253,CT600,QUEIJO MINAS FRESCAL TIROLEZ 500G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
132,10254,CT607,QUEIJO MINAS FRESCAL TIROLEZ LIGHT 270G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
133,10259,CT674,QUEIJO AZUL TIPO GORGONZOLA TIROLEZ 135G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
134,10260,CT675,QUEIJO COALHO TIROLEZ 350G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
135,10261,CT676,QUEIJO PRATO LIGHT FATIADO TIROLEZ 150G,TIROLEZ,Geovanna Bezerra,Pietro,0
136,10262,CT679,QUEIJO PRATO LIGHT ZERO LACTOSE TIROLEZ 150G,TIROLEZ,Geovanna Bezerra,Pietro,0
137,10265,CT682,QUEIJO MUSSARELA TIROLEZ LIGHT 150G,TIROLEZ,Geovanna Bezerra,Pietro,0
138,10266,CT683,REQUEIJÃO TIROLEZ 200G,TIROLEZ,Geovanna Bezerra,Pietro,Passáveis Refrigerados
139,10270,CT687,IOGURTE DESNATADO AMEIXA E CEREAIS ATI LATTE 180G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
140,10272,CT692,IOGURTE DESNATADO ATI LATTE COM MEL 500G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
141,10274,CT694,IOGURTE DESNATADO ATI LATTE MORANGO 500G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
142,10278,CT698,IOGURTE INTEGRAL ATI LATTE AÇÚCAR 500G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
143,10279,CT708,IOGURTE INTEGRAL MARACUJA ATI LATTE 180G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
144,10280,CT709,IOGURTE INTEGRAL ATI LATTE MARACUJÁ 500G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
145,10281,CT711,IOGURTE INTEGRAL MORANGO ATI LATTE 180G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
146,10282,CT712,IOGURTE INTEGRAL ATI LATTE MORANGO 500G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
147,10283,CT713,IOGURTE NATURAL DESNATADO ATI LATTE 170G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
148,10284,CT719,SUCO  GREENPEOPLE SANTO SUCO 350ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
149,10286,CT721,SUCO  OURO GREENPEOPLE 350ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
150,10295,CT753,SUCO  GREENPEOPLE MAMÃO E LARANJA 250ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
151,10296,CT754,SUCO  GREENPEOPLE LARANJA 250ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
