,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
528,20091,CT189422,GRAND RAVIOLI GOURMET GORGONZOLA E NOZES RANA 250G,CALIMP,Laura Morais,Pietro,Massas Frescas
529,20093,CT189424,MASSA RAVIOLI QUATRO QUEIJOS RANA 250G,CALIMP,Laura Morais,Pietro,Massas Frescas
530,20096,CT189427,MASSA RAVIOLI RICOTA E ESPINAFRE RANA 250G,CALIMP,Laura Morais,Pietro,Massas Frescas
531,20110,CT189441,BISNAGUINHA CENOURA E MANDIOQUINHA NUTRELLA 300G,BIMBO,João Reis,Pietro,Padaria
532,20114,CT189445,PÃO DE TORTILHA ORIGINAL RAP10 297G,BIMBO,João Reis,Pietro,Padaria
533,20115,CT189446,PÃO DE TORTILHA INTEGRAL RAP10 297G,BIMBO,João Reis,Pietro,Padaria
534,20123,CT189455,CREME DE ABÓBORA COM GORGONZOLA GREENTABLE 350G,Green Table Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
535,20372,CT189679,SUCO DE MAÇÃ YAKULT 200ML,YAKULT S/A INDUSTRIA E COMERCIO,Geovanna Bezerra,Pietro,Sucos e Chás Refrigerados
536,20394,CT189700,LEITE FERMENTADO YAKULT 80ML C/ 6UN,YAKULT S/A INDUSTRIA E COMERCIO,Geovanna Bezerra,Pietro,Iogurtes
537,20445,CT189720,QUEIJO MUSSARELA FATIADA DE CASTANHA DE CAJU VIDA VEG 150G,VIDA VEG LTDA,Fairlie Padoan,Pietro,"Queijos, Frios e Embutidos"
538,20600,CT189868,"LINGUIÇA CONGELADA DE PERNIL SUINO COM REQUEIJÃO, CERVEJA E BACON DEFUMADO SPECIALLI 400G",EMPORIO SPECIALLI LTDA,Paulo Pereira,Pietro,Suínos
539,20601,CT189869,LINGUIÇA CONGELADA DE PERNIL SUINO SABOR CHIMICHURRI SPECIALLI 400G,EMPORIO SPECIALLI LTDA,Paulo Pereira,Pietro,Suínos
540,20602,CT189870,LINGUIÇA CONGELADA DE PERNIL SUINO SABOR MARGHERITA SPECIALLI 400G,EMPORIO SPECIALLI LTDA,Paulo Pereira,Pietro,Suínos
541,20641,CT189907,SUCO INTEGRAL REFRIGERADO NATURAL ONE LARANJA 900ML,NATURAL ONE - REFRIGERADOS,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
542,20642,CT189908,SUCO  REFRIGERADO NATURAL ONE UVA E MAÇÃ 900ML,NATURAL ONE - REFRIGERADOS,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
543,20882,CT190136,LEITE PASTEURIZADO FAZENDA TIPO A ZERO LACTOSE SEMIDESNATADO 1L,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Leites Refrigerados
544,21009,CT190253,IOGURTE GREGO DANONE ORIGINAL 90G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
545,21010,CT190254,IOGURTE   GREGO DANONE ORIGINAL 340G C/ 4UN,DANONE,Geovanna Bezerra,Pietro,Iogurtes
546,21023,CT190272,SOBREMESA DANETTE DE CHOCOLATE 360G C/ 4UN,DANONE,Geovanna Bezerra,Pietro,Iogurtes
547,21025,CT190274,IOGURTE GREGO DANONE FRUTAS VERMELHAS 100G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
548,21038,CT190285,IOGURTE YOPRO 17G PROTEÍNAS NATURAL 160G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
549,21039,CT190286,IOGURTE YOPRO 15G PROTEÍNAS COCO CREMOSO 160G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
550,21040,CT190287,IOGURTE YOPRO 15G PROTEÍNAS MORANGO 160G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
551,21041,CT190288,IOGURTE LÍQUIDO YOPRO 15G DE PROTEÍNAS DOCE DE LEITE HAVANNA 250G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
552,21042,CT190289,IOGURTE LÍQUIDO YOPRO 15G PROTEÍNAS MORANGO 250G,DANONE,Geovanna Bezerra,Pietro,Iogurtes
553,21420,CT190647,PÃO DE QUEIJO MASTER QUEIJO TRADICIONAL 600G,MASTER QUEIJO,Laura Morais,Pietro,Pães Congelados e Lanches
554,21421,CT190648,PÃO DE QUEIJO MASTER QUEIJO EMPANADO COM QUEIJO 600G,MASTER QUEIJO,Laura Morais,Pietro,Pães Congelados e Lanches
555,21422,CT190649,PÃO DE QUEIJO MASTER QUEIJO EMPANADO COM QUEIJO RECHEIO GOIABADA 700G,MASTER QUEIJO,Laura Morais,Pietro,Pães Congelados e Lanches
556,21423,CT190650,PÃO DE QUEIJO MASTER QUEIJO EMPANADO COM QUEIJO RECHEIO REQUEIJÃO 700G,MASTER QUEIJO,Laura Morais,Pietro,Pães Congelados e Lanches
557,22010,CT191159,IOGURTE GREGO ZERO GORDURAS MORANGO VIGOR 90G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
558,22012,CT191161,CHANTILLY SPRAY VIGOR 250G,VIGOR,Geovanna Bezerra,Pietro,Leites Refrigerados
559,22013,CT191162,IOGURTE MIX CEREAIS VIGOR TRADICIONAL 165G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
560,22015,CT191164,IOGURTE MIX CEREAIS VIGOR MORANGO 165G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
561,22028,CT191182,SANDUÍCHE SADIA HOT POCKET DE PICANHA 145G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pães Congelados e Lanches
562,22030,CT191184,SANDUÍCHE SADIA SANDUÍCHE HOT POCKET DE CHEDDAR 145G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pães Congelados e Lanches
563,22285,CT191437,FILÉ DE TILÁPIA EMPANADA SEARA 400G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
564,22287,CT191439,CAMARÃO EMPANADO SEARA 300G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
565,22318,CT191469,QUEIJO PARMESÃO MONTANHÊS FRACIONADO 170G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
566,22319,CT191470,QUEIJO PARMESAO FRACIONADO NERO CUNHA 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
567,22320,CT191471,MANTEIGA  EXTRA GRAN MESTRI COM SAL POTE 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
568,22321,CT191472,MANTEIGA  EXTRA GRAN MESTRI SEM SAL POTE 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
569,22325,CT191476,QUEIJO TIPO GRANA  GRAN FORMAGGIO RAR 200G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
570,22326,CT191477,QUEIJO TIPO GRANA  LASCAS GRAN FORMAGGIO RAR 150G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
571,22327,CT191478,QUEIJO TIPO GRANA  PADANO LASCAS IMPORTADO RAR 150G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
572,22328,CT191479,QUEIJO RALADO TIPO GRANA  GRAN FORMAGGIO RAR 50G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
573,22333,CT191484,PRESUNTO CRU RAR 80G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
574,22335,CT191486,LOMBO SUÍNO TEMPERADO CONGELADO SULITA 800G A 1KG,SULITA,Paulo Pereira,Pietro,Suínos
575,22336,CT191487,PICANHA SUÍNA TEMPERADA CONGELADA SULITA 700G A 1KG,SULITA,Paulo Pereira,Pietro,Suínos
576,22337,CT191488,PERNIL SUÍNO TEMPERADO CONGELADO SULITA 700G A 1 KG,SULITA,Paulo Pereira,Pietro,Suínos
577,22338,CT191489,SOBREPALETA SUÍNA TEMPERADA CONGELADA SULITA 700G A 1KG,SULITA,Paulo Pereira,Pietro,Suínos
578,22340,CT191491,PANCETA SUÍNA GOURMET TEMPERADA CONGELADA SULITA 700G A 1KG,SULITA,Paulo Pereira,Pietro,Suínos
579,22341,CT191492,COSTELA SUÍNA GOURMET TEMPERADA CONGELADA SULITA 700G A 1KG,SULITA,Paulo Pereira,Pietro,Suínos
580,22342,CT191493,LINGUIÇA DE PERNIL SUÍNA FRESCAL CONGELADA SULITA 800G,SULITA,Paulo Pereira,Pietro,Suínos
581,22346,CT191497,CARPACCIO DE CARNE BOVINA CONGELADO WESSEL 200G,WESSEL,Paulo Pereira,Pietro,Açougue
582,22347,CT191498,HAMBÚRGUER DE PICANHA GOURMET WESSEL 360G,WESSEL,Paulo Pereira,Pietro,Açougue
583,22348,CT191499,HAMBÚRGUER DE COSTELA GOURMET WESSEL 360G,WESSEL,Paulo Pereira,Pietro,Açougue
584,22349,CT191500,POLPETTINI WESSEL 270G,WESSEL,Paulo Pereira,Pietro,Pratos Prontos
585,22351,CT191502,KAFTA WESSEL 300G,WESSEL,Paulo Pereira,Pietro,Açougue
586,22406,CT191537,CREPE DE CHOCOLATE PADERRI 192G,PADERRI,Fairlie Padoan,Pietro,Padaria
587,22407,CT191538,MADELEINE TRADICIONAL PADERRI 200G,PADERRI,Fairlie Padoan,Pietro,Padaria
588,22408,CT191539,MADELEINE LONGA COM GOTAS DE AÇÚCAR PADERRI 200G,PADERRI,Fairlie Padoan,Pietro,Padaria
589,22409,CT191540,MADELEINE LONGA COM CHOCOLATE PADERRI 200G,PADERRI,Fairlie Padoan,Pietro,Padaria
590,22410,CT191541,PÃO DE LEITE PADERRI 280G,PADERRI,Fairlie Padoan,Pietro,Padaria
591,22412,CT191543,CREPE DE DOCE DE LEITE PADERRI 192G,PADERRI,Fairlie Padoan,Pietro,Padaria
592,22413,CT191544,PÃO DE BRIOCHE TRANÇADO PADERRI 400G,PADERRI,Fairlie Padoan,Pietro,Padaria
593,22733,CT191813,IOGURTE PETIT SUISSE SABOR MORANGO CHAMBINHO 320G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
594,22734,CT191814,LEITE FERMENTADO CHAMYTO C/ 6UN 450G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
595,22736,CT191816,IOGURTE LÍQUIDO SABOR BAUNILHA MOLICO 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
596,22738,CT191818,IOGURTE LÍQUIDO SABOR MORANGO MOLICO 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
597,22739,CT191819,IOGURTE SABOR BAUNILHA MOLICO 360G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
598,22743,CT191823,"IOGURTE LÍQUIDO SABOR MORANGO, BAUNILHA E AVEIA NESFIT 850G",NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
599,22745,CT191825,IOGURTE GREGO FRUTAS VERMELHAS NESTLÉ 90G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,0
600,22746,CT191826,IOGURTE GREGO TRADICIONAL NESTLÉ 90G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
601,22747,CT191827,IOGURTE NATURAL DESNATADO NESTLÉ 160G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
602,22748,CT191828,IOGURTE SABOR MORANGO NESTLÉ 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
603,22749,CT191829,IOGURTE NATURAL TRADICIONAL NESTLÉ 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
604,22750,CT191830,IOGURTE NATURAL COM MEL NESTLÉ 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
605,22751,CT191831,BEBIDA LÁCTEA SABOR VITAMINA NESTON 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
606,22752,CT191832,IOGURTE LÍQUIDO SABOR MAÇÃ E BANANA NINHO 170G,NESTLÉ - REFRIGERADOS,Geovanna Bezerra,Pietro,Iogurtes
607,23474,CT181920ANHA,LASANHA CONGELADA BOLONHESA FORNO DE MINAS 600G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
608,23500,CT192547,IOGURTE VEGANO DE COCO SABOR MANGA E MARACUJÁ FRESCO 110ML,FRESCO,Fairlie Padoan,Pietro,Iogurtes
609,23501,CT192548,IOGURTE VEGANO DE COCO SABOR MORANGO FRESCO 110ML,FRESCO,Fairlie Padoan,Pietro,Iogurtes
610,23504,CT192551,CREAM CHEESE VEGANO DE CASTANHA DE CAJÚ FRESCO 150G,FRESCO,Fairlie Padoan,Pietro,Passáveis Refrigerados
611,23507,CT192554,"CARNE PEÇA PICANHA CONGELADA ESTÂNCIA 92 - 1,2 A 1,3KG",MINERVA,Paulo Pereira,Pietro,Açougue
612,23632,CT192659,MINI BROWNIE WICKBOLD AVELÃ 30G,WICKBOLD,João Reis,Pietro,Padaria
613,23665,CT192682,PÃO ANFITRIÃ SABOR ALHO COM QUEIJO 450G,ANFITRIÃ,Laura Morais,Pietro,Pães Congelados e Lanches
614,23667,CT192684,PÃO ANFITRIÃ DE LINGUIÇA COM CHIMICHURRI 380G,ANFITRIÃ,Laura Morais,Pietro,Pães Congelados e Lanches
615,24148,CT193152,PÃO TÁ PRONTO PROTEÍNA WICKBOLD 270G,WICKBOLD,João Reis,Pietro,Padaria
616,24470,CT193466,PRESUNTO SERRANO FATIAS EXTRAFINAS HACIENDAS 100G,Haciendas,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
617,24471,CT193467,SALAME    DUO ITALIANO + HAMBURGUÊS HACIENDAS 80G,Haciendas,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
618,24472,CT193468,SALAME    TRIO ITALIANO + HAMBURGUÊS + COPA HACIENDAS 90G,Haciendas,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
619,24518,CT193511,HOMUS  TRADICIONAL BABA SOL 200G,Baba Sol,Geovanna Bezerra,Pietro,Passáveis Refrigerados
620,24519,CT193512,HOMUS  MEDITERRÂNEO BABA SOL 200G,Baba Sol,Geovanna Bezerra,Pietro,Passáveis Refrigerados
621,24520,CT193513,TAHINE TRADICIONAL BABA SOL 200G,Baba Sol,Geovanna Bezerra,Pietro,Passáveis Refrigerados
622,24522,CT193515,BABAGANOUSH BABA SOL 200G,Baba Sol,Geovanna Bezerra,Pietro,Passáveis Refrigerados
623,24524,CT193517,BERINJELA CARAMELIZADA BABA SOL 200G,Baba Sol,Geovanna Bezerra,Pietro,Passáveis Refrigerados
624,24525,CT193518,PÃO COM LINGUIÇA SIMPLE 300G,SIMPLE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
625,24526,CT193519,BURRATA DE BÚFALA LEVITARE 150G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
626,24528,CT193521,MOZZARELA DE BÚFALA CEREJA À VACUO LEVITARE 250G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
627,24529,CT193522,MOZZARELA DE BÚFALA CEREJA LEVITARE 150G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
628,24530,CT193523,MOZZARELA DE BÚFALA CEREJA SEM LACTOSE LEVITARE 150G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
629,24531,CT193524,MOZZARELA DE BÚFALA FATIADA LEVITARE 150G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
630,24532,CT193525,QUEIJO MINAS PADRÃO DE BÚFALA LEVITARE 300G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
631,24534,CT193527,REQUEIJÃO CREMOSO DE BÚFALA LEVITARE 200G,LEVITARE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
632,24536,CT193529,RICOTA FRESCA DE BÚFALA LEVITARE 400G,LEVITARE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
633,24561,CT193549,MINI PÃES DE QUEIJO CONGELADOS SALGADOS DA BISA 300G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
634,24562,CT193550,MINI KIBES DE CARNE CONGELADOS SALGADOS DA BISA 400G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
635,24563,CT193551,MINI BOLINHOS DE QUEIJO CONGELADOS SALGADOS DA BISA 400G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
636,24564,CT193552,MINI BOLINHOS DE CALABRESA COM REQUEIJÃO CONGELADOS SALGADOS DA BISA 400G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
637,24565,CT193553,MINI COXINHAS DE FRANGO CONGELADAS SALGADOS DA BISA 400G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
638,24566,CT193554,MINI RISOLES DE PRESUNTO E QUEIJO CONGELADOS SALGADOS DA BISA 400G,Salgados da Bisa,Laura Morais,Pietro,Pratos Prontos
639,25297,CT194277,QUEIJO FRESCAL DE BÚFALA MONTEZUMA 450G,LATICÍNIOS MONTEZUMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
640,25298,CT194278,QUEIJO MUSSARELA DE BÚFALA EM BARRA MONTEZUMA 500G,LATICÍNIOS MONTEZUMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
641,25300,CT194281,BURRATA DE BÚFALA MONTEZUMA 200G,LATICÍNIOS MONTEZUMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
642,25302,CT194280,QUEIJO MUSSARELA DE BÚFALA EM PALITOS MONTEZUMA 270G,LATICÍNIOS MONTEZUMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
643,25397,CT194375,IOGURTE NATURAL  VIGOR VIV 150G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
644,25398,CT194376,IOGURTE NATURAL COM MEL VIGOR VIV 150G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
645,25399,CT194377,IOGURTE NATURAL  DESNATADO VIGOR VIV 150G,VIGOR,Geovanna Bezerra,Pietro,Iogurtes
646,25400,CT194378,"IOGURTE NATURAL LARANJA, CENOURA E MEL VIGOR VIV 150G",VIGOR,Geovanna Bezerra,Pietro,Iogurtes
647,25413,CT194391,CREAM CHEESE TRADICIONAL DANUBIO 150G,VIGOR,Geovanna Bezerra,Pietro,Passáveis Refrigerados
648,25414,CT194392,CREAM CHEESE LIGHT DANUBIO 150G,VIGOR,Geovanna Bezerra,Pietro,Passáveis Refrigerados
649,25417,CT194395,QUEIJO      PARMESÃO FATIA VIGOR 200G,VIGOR,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
650,25604,CT194566,REQUEIJÃO CREMOSO   GRAN MESTRI ZERO LACTOSE 180G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
651,25605,CT194567,REQUEIJÃO CREMOSO GRAN MESTRI TRADICIONAL  180G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
652,25606,CT194568,QUEIJO TIPO GRANA PADANO ZERO LACTOSE GRAN MESTRI 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
653,25608,CT194570,QUEIJO GORGONZOLA ZERO LACTOSE GRAN MESTRI 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
654,25609,CT194572,QUEIJO TIPO PROVOLONE MATURADO FRACIONADO 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
655,25610,CT194573,QUEIJO PARMESÃO ZERO LACTOSE GRAN MESTRI 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
656,25650,CT194613,IOGURTE NATURAL DE LEITE DE OVELHA RIMA 120G,RIMA,Geovanna Bezerra,Pietro,Iogurtes
657,25651,CT194614,COALHADA SECA NATURAL DE LEITE DE OVELHA RIMA 200G,RIMA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
658,25654,CT194617,QUEIJO  BOURSIN EM PASTA RIMA 250G,RIMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
659,25655,CT194618,QUEIJO  AVECUIA DE LEITE DE OVELHA RIMA 160G,RIMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
660,25657,CT194621,QUEIJO  BOURSIN EM CONSERVA RIMA 160G,RIMA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
661,25666,CT194571,QUEIJO GORGONZOLA GRAN MESTRI 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
662,25744,CT194704,QUEIJO   MANDALA PARDINHO 300G,LEITERIA E LATICINIOS PARDINHO ARTESANAL LTDA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
663,25747,CT194708,QUEIJO   CUESTA AZUL PARDINHO 315G,LEITERIA E LATICINIOS PARDINHO ARTESANAL LTDA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
664,25870,CT194819,BATATA ROSTI NA MIRA FRANGO COM QUEIJO 400G,Na Mira Foods Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
665,25871,CT194820,BATATA ROSTI NA MIRA BRÓCOLIS COM QUEIJO 400G,Na Mira Foods Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
666,25872,CT194821,BATATA ROSTI NA MIRA BACON COM QUEIJO 400G,Na Mira Foods Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
667,25873,CT194822,BATATA ROSTI NA MIRA QUATRO QUEIJOS 400G,Na Mira Foods Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
668,25874,CT194823,BATATA ROSTI NA MIRA COSTELA COM QUEIJO 400G,Na Mira Foods Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
669,25895,CT194846,QUEIJO PARMESÃO CILINDRO RAR 200G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
670,25896,CT194847,QUEIJO PECORINO RAR FRACIONADO 200G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
671,25897,CT194848,QUEIJO GRANA PADANO RAR 200G,RAR Alimentos,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
672,26041,CT194981,"CARNE  PEÇA FRALDINHA RED ESTÂNCIA 92 - 0,75 A 0,85KG",MINERVA,Paulo Pereira,Pietro,Açougue
673,26459,CT195313,MARGARINA  QUALY VEGÊ POTE 250G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Passáveis Refrigerados
674,26460,CT195314,MORTADELA DEFUMADA FATIADA SADIA SOLTÍSSIMO 200G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
675,26465,CT195319,COXINHAS DAS ASAS EMPANADAS SADIA 400G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Pratos Prontos
676,26541,CT195359,BIFE ANCHO NELORE GRILL BASSAR 310G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
677,26542,CT195360,BIFE CHORIZO NELORE GRILL BASSAR 310G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
678,26543,CT195361,COSTELA SUÍNA BASSAR 500G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Suínos
679,26806,CT195622,VINHO TINTO COLLEZIONE PINOT NOIR 750ML,RAR Alimentos,Geovanna Bezerra,Pietro,0
680,27162,CT195928,"ESCONDIDINHO DE CARNE MOÍDA, LEGUMES E PURÊ DE COUVE-FLOR GREENTABLE 350G",Green Table Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
681,27164,CT195930,"CARNE COZIDA, ARROZ SETE GRÃOS E FEIJÃO GREENTABLE BRASILEIRINHO 350G",Green Table Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
682,27322,CT196079,PALITO DE MOZZARELA DE BÚFALA LEVITARE TO GO 130G,LEVITARE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
683,27323,CT196080,PALITO DE MOZZARELA ATI LATTE 304G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
684,27324,CT196081,PALITO DE MOZZARELA ZERO LACTOSE ATI LATTE 304G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
685,27635,CT196382,QUEIJO PARMESAO FRACIONADO CUNHA 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
686,27636,CT196383,QUEIJO PECORINO SARDO FRACIONADO GRAN MESTRI 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
687,27638,CT196385,QUEIJO RALADO GRAN MESTRI 40G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
688,27640,CT196387,QUEIJO TIPO PROVOLONE PROVOLONETE MATURADO DEFUMADO GRAN MESTRI 380G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
689,27641,CT196388,QUEIJO TIPO PROVOLONE MATURADO DEFUMADO FRACIONADO 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
690,27726,CT196467,PÃO DE QUEIJO   NUU COLORIDO NATURALMENTE 300G,MARIA DOLORES COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
691,28212,CT196912,QUEIJO MUSSARELA FATIADO PRESIDENT 300G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
692,28212,CT196912,QUEIJO MUSSARELA FATIADO PRESIDENT 300G - PROMOCIONAL,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
693,28234,CT196935,PÃO DE COCO PANCO 350G,PANCO,João Reis,Pietro,Padaria
694,28282,CT196977,RAVIOLI MUSSARELA COM MOLHO BASILICO RENATTINO EXPRESS 400G,ESPAÇO GOURMET,Laura Morais,Pietro,Massas Frescas
695,28288,CT196983,DADINHO DE TAPIOCA CONGELADO REPEAT QUEIJO COALHO 250G,REPEAT,Fairlie Padoan,Pietro,Pratos Prontos
696,28289,CT196984,BOLINHO DE ARROZ CONGELADO REPEAT COM CROSTA DE PARMESÃO 200G,REPEAT,Fairlie Padoan,Pietro,Pratos Prontos
697,28290,CT196985,BOLINHO CONGELADO REPEAT DE COUVE FLOR 200G,REPEAT,Fairlie Padoan,Pietro,Pratos Prontos
698,28385,CT197069,QUEIJO PRATO FATIADO PRESIDENT 300G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
699,28507,CT197188,QUEIJO COALHO XANDÔ 300G,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
700,28509,CT197190,MANTEIGA EXTRA SEM SAL XANDÔ 200G,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
701,28510,CT197191,MANTEIGA EXTRA COM FLOR DE SAL XANDÔ 200G,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
702,28512,CT197193,QUEIJO MINAS FRESCAL XANDÔ 300G,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
