id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
24238,CT193241,ALVEJANTE DETERGENTE SUPER CANDIDA PLUS 1L,"6,29",,Jefferson Moraes
24239,CT193242,LIMPADOR DESENGORDURANTE SUPER CANDIDA COZINHA 500ML,"7,99",,Jefferson Moraes
24264,CT193275,SUCO TIAL HISTÓRIAS 100% MORANGO 200ML,"4,39",,Camila Fim
24266,CT193277,CREME CULINÁRIO VEGETAL CREMERIA A TAL DA CASTANHA 200G,"11,99",,Leny Neta
24274,CT193282,FILÉ DE SARDINHA GOMES DA COSTA EM MOLHO DE TOMATE 125G,"13,49",,Leny Neta
24278,CT193286,ÁGUA TÔNICA ST.PIERRE RED MINT 200ML,"7,49",,Vinicius Teixeira
24279,CT193287,ÁGUA TÔNICA RED MINT ST.PIERRE LATA 270ML,"5,99",,Vinicius Teixeira
24352,CT193293,DRINK  PRONTO EASY BOOZE RED MINT 269ML,"7,89",,Vinicius Teixeira
24371,CT193377,ESPONJA  SCOTCH BRITE 3M ESFERAS DE LIMPEZA C/ 1UN,"6,99",,Rafael Souza
24378,CT193378,CHOCOLATE AO LEITE NESCAU BALL 75G,"10,49",,Stephanie Jesus
24398,CT193395,GOIABADA CASCÃO DE CORTE AMORE 250G,"10,49",,Stephanie Jesus
24399,CT193396,GOIABADA CASCÃO ZERO AÇÚCAR AMORE 250G,"13,49",,Stephanie Jesus
24400,CT193397,GOIABADA DE CORTE ZERO AÇÚCAR AMORE 250G,"13,49",,Stephanie Jesus
24404,CT193401,CHIPS DE BATATA FRITA SABOR TRUFAS NEGRAS HUNTERS GOURMET 150G,"40,9",,Stephanie Jesus
24409,CT193406,GOIABADA CASCAO CREMOSA TESOURO REAL 400G,"22,99",,Stephanie Jesus
24410,CT193407,GOIABADA CREMOSA ZERO AÇUCAR TESOURO REAL 400G,"25,99",,Stephanie Jesus
24434,CT193428,CAFÉ      TORRADO E MOÍDO UNIÃO TRADICIONAL 500G,"29,89",,Leny Neta
24435,CT193429,CAFÉ      TORRADO E MOÍDO UNIÃO EXTRA FORTE 500G,"29,89",,Leny Neta
24451,CT193445,SHAMPOO HEAD & SHOULDERS MEN MENTHOL SPORT 400ML,"29,89",,Jefferson Moraes
24454,CT193450,BEBIDA DE AVEIA ORGÂNICA NUDE COM BAUNILHA 200ML,"8,79",,Camila Fim
24455,CT193451,BEBIDA   DE AVEIA ORGÂNICA NUDE COM CACAU 200ML,"8,79",,Camila Fim
24463,CT193459,"BATATA BEM BRASIL CRINKLE 1,05KG","21,99","21,99",Laura Morais
24470,CT193466,PRESUNTO SERRANO FATIAS EXTRAFINAS HACIENDAS 100G,"32,9","32,9",Paulo Pereira
24471,CT193467,SALAME    DUO ITALIANO + HAMBURGUÊS HACIENDAS 80G,"17,99","17,99",Paulo Pereira
24472,CT193468,SALAME    TRIO ITALIANO + HAMBURGUÊS + COPA HACIENDAS 90G,"20,99","20,99",Paulo Pereira
24474,CT193470,PASTEL DE BELÉM CONFEITARIA DA TORRE C/ 4UN DE 50G,"22,49","22,49",Paulo Pereira
24512,CT193505,MACARRÃO SPAGHETTI LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24513,CT193506,MACARRÃO LINGUINE LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24514,CT193507,MACARRÃO FUSILLI LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24515,CT193508,MACARRÃO PENNE RIGATE LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24516,CT193509,MACARRÃO FARFALLE RIGATE LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24517,CT193510,GNOCCHI LA MOLISANA 500G,"13,99",,Juliana Rodrigues
24518,CT193511,HOMUS  TRADICIONAL BABA SOL 200G,"18,89","18,89",Geovanna Bezerra
24519,CT193512,HOMUS  MEDITERRÂNEO BABA SOL 200G,"18,89","18,89",Geovanna Bezerra
24520,CT193513,TAHINE TRADICIONAL BABA SOL 200G,"18,89","18,89",Geovanna Bezerra
24522,CT193515,BABAGANOUSH BABA SOL 200G,"18,89","18,89",Geovanna Bezerra
